City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
211,Olga,RU,2022-04-01 01:28:31,43.7444,135.2892,Clouds,36.95,35,85,13.15
212,Lorengau,PG,2022-04-01 01:28:32,-2.0226,147.2712,Clouds,85.53,69,55,15.55
213,Tasiilaq,GL,2022-04-01 01:28:32,65.6145,-37.6368,Clouds,33.96,98,100,4.94
214,Faanui,PF,2022-04-01 01:28:32,-16.4833,-151.75,Clouds,82.08,67,28,12.84
215,Te Anau,NZ,2022-04-01 01:28:33,-45.4167,167.7167,Clouds,55.92,62,95,1.34
216,Lata,PT,2022-04-01 01:28:33,40.1629,-8.3327,Clouds,56.8,93,74,3.67
217,Trairi,BR,2022-04-01 01:28:33,-3.2778,-39.2689,Clouds,74.66,90,100,4.25
218,Hearst,CA,2022-04-01 01:28:33,49.6835,-83.6665,Snow,21.45,93,100,12.48
219,Mala Danylivka,UA,2022-04-01 01:28:34,50.0635,36.1656,Clouds,50.45,70,100,8.25
220,Santarem,BR,2022-04-01 01:28:34,-2.4431,-54.7083,Clouds,75.33,100,75,3.44
221,Bari,IT,2022-04-01 01:28:34,41.1177,16.8512,Clouds,57.87,77,97,10.36
222,Dingle,PH,2022-04-01 01:28:34,10.9995,122.6711,Clouds,84.54,68,61,10.71
223,Nouadhibou,MR,2022-04-01 01:28:35,20.931,-17.0347,Clear,64.38,77,0,19.57
224,Puerto Colombia,CO,2022-04-01 01:28:35,10.9878,-74.9547,Clouds,78.89,84,71,21.14
225,Belyy Yar,RU,2022-04-01 01:28:35,53.6039,91.3903,Clear,33.69,74,0,2.24
226,Nome,US,2022-04-01 01:28:35,64.5011,-165.4064,Clouds,28.17,80,100,18.41
227,Bethel,US,2022-04-01 01:28:36,41.3712,-73.414,Mist,61.03,91,100,17.27
228,Buraydah,SA,2022-04-01 01:28:36,26.326,43.975,Clear,70.25,19,0,10.51
229,Georgetown,MY,2022-04-01 01:28:36,5.4112,100.3354,Clouds,84.13,87,20,4.61
230,Clyde River,CA,2022-04-01 01:28:36,70.4692,-68.5914,Clear,-3.77,84,0,3.44
231,Khatanga,RU,2022-04-01 01:28:37,71.9667,102.5,Clouds,4.96,98,100,6.33
232,Ponta Do Sol,PT,2022-04-01 01:29:37,32.6667,-17.1,Clouds,61.72,81,75,4.21
233,Opuwo,NA,2022-04-01 01:29:37,-18.0607,13.84,Clouds,73.02,62,100,3.29
234,Severodvinsk,RU,2022-04-01 01:29:37,64.5635,39.8302,Clouds,19.51,91,90,8.75
235,Baruun-Urt,MN,2022-04-01 01:29:38,46.6806,113.2792,Clouds,33.08,23,100,6.53
236,Rincon,US,2022-04-01 01:29:38,32.296,-81.2354,Clouds,73.36,68,40,14.97
237,Fairbanks,US,2022-04-01 01:28:51,64.8378,-147.7164,Clear,29.3,29,0,12.66
238,Mar Del Plata,AR,2022-04-01 01:29:38,-38.0023,-57.5575,Clear,56.88,78,0,5.01
239,La Presa,US,2022-04-01 01:29:39,32.7081,-116.9973,Clouds,61.74,79,100,11.5
240,New Norfolk,AU,2022-04-01 01:29:39,-42.7826,147.0587,Clouds,58.71,58,98,3.0
241,San Juan,AR,2022-04-01 01:27:35,-31.5375,-68.5364,Clear,59.83,20,0,3.87
242,Jimo,CN,2022-04-01 01:29:39,36.3897,120.4622,Clear,47.98,34,0,8.95
243,Praia,CV,2022-04-01 01:29:39,14.9215,-23.5087,Clear,70.34,78,0,12.66
244,Srednekolymsk,RU,2022-04-01 01:29:40,67.45,153.6833,Clouds,0.7,85,99,4.18
245,Guerrero Negro,MX,2022-04-01 01:29:40,27.9769,-114.0611,Clear,61.92,68,6,20.24
246,Qaanaaq,GL,2022-04-01 01:29:40,77.484,-69.3632,Clouds,24.01,72,100,3.11
247,Lagoa,PT,2022-04-01 01:29:40,39.05,-27.9833,Clouds,60.46,90,100,23.17
248,Smithers,CA,2022-04-01 01:29:41,54.7804,-127.1743,Clouds,44.92,36,75,10.36
249,Honningsvag,NO,2022-04-01 01:29:41,70.9821,25.9704,Clouds,28.15,64,100,11.5
250,Yarim,YE,2022-04-01 01:29:41,14.298,44.3779,Clear,51.22,23,0,5.39
251,Inhambane,MZ,2022-04-01 01:29:41,-23.865,35.3833,Clear,75.38,82,0,6.67
252,Dolinsk,RU,2022-04-01 01:29:42,47.35,142.8,Clouds,31.42,63,100,1.99
253,Dandong,CN,2022-04-01 01:29:42,40.1292,124.3947,Clear,45.41,29,0,8.93
254,Whitehorse,CA,2022-04-01 01:29:42,60.7161,-135.0538,Clouds,39.09,44,20,12.66
255,Kieta,PG,2022-04-01 01:29:42,-6.2167,155.6333,Rain,83.79,77,100,2.06
256,Wamba,NG,2022-04-01 01:29:43,8.9333,8.6,Clouds,77.32,29,100,5.21
257,Kostomuksha,RU,2022-04-01 01:29:43,64.571,30.5767,Clouds,2.91,97,30,3.89
258,Tomatlan,MX,2022-04-01 01:29:43,19.9333,-105.25,Clouds,73.09,56,100,4.81
259,Vrable,SK,2022-04-01 01:29:44,48.2437,18.3085,Rain,47.89,90,100,4.56
260,Manzanillo,CU,2022-04-01 01:29:44,20.3433,-77.1167,Rain,78.73,72,74,2.46
261,Manokwari,ID,2022-04-01 01:29:44,-0.8667,134.0833,Clouds,81.95,72,96,0.78
262,Faya,SA,2022-04-01 01:29:44,18.3851,42.4509,Clear,55.51,20,0,4.94
263,Santa Engracia,ES,2022-04-01 01:29:45,41.9406,-1.3245,Clouds,46.13,74,13,28.14
264,Bougouni,ML,2022-04-01 01:29:45,11.417,-7.479,Clear,90.32,23,8,3.29
265,Cayenne,GF,2022-04-01 01:29:45,4.9333,-52.3333,Clouds,81.09,1,75,8.05
266,Fare,PF,2022-04-01 01:29:45,-16.7,-151.0167,Clouds,82.08,68,33,11.88
